under_influence;Run;Denounce;Females;Got attacked;Stress
0.07999999999999999;215;73;1210;200;0.029656916044201523
0.07999999999999999;216;89;1246;222;0.02936453128279269
0.07999999999999999;217;77;1235;191;0.03090190965761552
0.07999999999999999;218;65;1248;178;0.030307055697119126
0.07999999999999999;219;63;1272;200;0.029997551618718584
0.07999999999999999;220;76;1179;197;0.030673390089451958
0.07999999999999999;221;71;1235;210;0.029869447205382607
0.07999999999999999;222;83;1223;201;0.03085838861043157
0.07999999999999999;223;75;1183;214;0.03032827563631079
0.07999999999999999;224;73;1262;187;0.030072905828623948
0.07999999999999999;225;72;1148;204;0.029824257656785196
0.07999999999999999;226;68;1219;205;0.03070320267475678
0.07999999999999999;227;81;1243;203;0.02987374540248473
0.07999999999999999;228;86;1255;224;0.030779594849787477
0.07999999999999999;229;63;1172;206;0.02954548129470013
0.07999999999999999;230;80;1237;221;0.029447527932574276
0.07999999999999999;231;81;1203;209;0.029722745358930356
0.07999999999999999;232;76;1193;214;0.029600447633904126
0.07999999999999999;233;76;1243;205;0.02917017963464121
0.07999999999999999;234;67;1182;202;0.02967377427155525
0.07999999999999999;235;68;1273;209;0.02914049603850129
0.07999999999999999;236;82;1187;225;0.028770497494940036
0.07999999999999999;237;79;1249;230;0.03023567828938684
0.07999999999999999;238;72;1237;213;0.03053760017732527
0.07999999999999999;239;75;1228;210;0.030483618042576165
0.07999999999999999;240;73;1230;229;0.030123261839795145
0.07999999999999999;241;54;1230;162;0.03021091280519522
0.07999999999999999;242;86;1238;217;0.03032077219149501
